fpid,doi,search_strategy,selection_criteria,data_analysis,scale,data_in_europe,nb_of_papers,background,objective,impact_matrix,result1,result2,result3,result4,result5,general_conclusion,knowledge_gaps
agroforestry practices and systems,10.3389/fenvs.2022.949185,"search strategy: the literature search was conducted in the web of science (1945–2020) with 5,135 records identified. keywords included terms related to shade, drought, grass, and livestock. ultimately, 33 studies were included for qualitative and quantitative synthesis.","the selection criteria for the studies included in the meta-analysis were:

grass performance data collected in the same calendar year or continuous year.

studies conducted in the field with natural tree shade.

assessment of grass responses under two contrasting seasons and multiple levels of tree cover.

exclusion of studies reporting data for only one season or one level of tree cover.","the authors used meta-analysis to assess tree cover effects on grass biomass, calculating effect sizes using the natural log of the response ratio (ln(rr)). they performed multivariate meta-regression models with random effects, considering predictors like seasons, biome, and c3/c4 species.","global but mostly south america,  61% were conducted in the tropics and 39% in temperate regions.",y,33,"The meta-analysis investigates how tree cover and seasonal variations affect grass biomass. It utilizes effect size calculations based on data from various studies, focusing on interactions between tree cover, seasons, and grass species across different biomes, highlighting ecological dynamics in both temperate and tropical regions.",the main objective of the meta-analysis is to assess the effects of tree cover and season on grass biomass. the research questions focus on how tree cover influences grass response under different seasons and whether these effects vary across biomes and c3/c4 species. the main variables considered as moderators in the meta-analysis include: seasons; biome (temperate and tropical); c3/c4 species; evapotranspiration; monthly precipitation; maximum daily temperature; irradiance.,grassland production,"trees facilitate grass biomass during dry seasons, especially in the tropics and dry regions. these positive effects are more likely to occur at intermediate levels of evapotranspiration and irradiance. our findings suggest that integrating trees in pastures might increase resilience of current livestock production systems to drier and warmer conditions.",NA,NA,NA,NA,"trees facilitate grass biomass during dry seasons, especially in the tropics and dry regions.","need for holistic assessments of tree diversity's direct and indirect effects on livestock productivity and economic benefits for farmers.

limited research outside the neotropics; a call for interdisciplinary studies on tree-grass interactions across various environments and cultures.

integration of traditional farmer knowledge with ecological theory to develop sustainable strategies for biodiversity conservation and climate adaptation."
agroforestry practices and systems,10.3390/su14031296,"search strategy involved three queries in the web of science core collection (woscc) during november 2021:

""""alley cropping"""" and """"soil"""" and """"carbon""""

""""alley cropping"""" and """"soil"""" and """"organic"""" and """"matter""""

""""alley cropping"""" or """"silvoarable"""" and """"soil organic carbon""""

these searches identified 940 papers, leading to 43 articles used for meta-analysis.","the selection criteria for the meta-analysis included:

studies must report soil organic carbon (soc) or soil organic matter (som).

exclusion of studies comparing agroforestry sites established from natural forests to agricultural fields without trees.

focus on studies where trees were introduced into agricultural fields.

exclusion of manuscripts reporting total carbon instead of soc.","the authors used three mixed-effects models to analyze data on relative soil organic carbon (rsoc) in alley cropping. they examined climate zones, tree age, and tree family as factors. descriptive statistics and model assumptions were checked using r, with no violations found.",global,y,43,"The meta-analysis focuses on the impact of alley cropping on soil organic carbon (SOC) by reviewing literature from November 2021. It aims to assess how introducing trees into agricultural fields affects SOC compared to monoculture systems, using data from 43 relevant studies.",the main objective of the meta-analysis is to evaluate the impact of alley cropping on soil organic carbon (soc) compared to sole cropping systems. the primary research questions focus on how the introduction of trees into agricultural fields affects soc levels.,carbon sequestration,"agroforestry practices, particularly alley cropping, enhance soil organic carbon (soc) stocks, especially in areas with low initial soc. benefits increase over time, requiring at least a decade for noticeable effects. denser alley cropping systems yield higher soc, while tree species do not significantly differ in impact.",the effects were however not statistically tested by the authorsof the meta-analysis.,NA,NA,NA,agroforestry practices increase soil organic carbon stocks. the effects were however not statistically tested by the authorsof the meta-analysis.,"investigate the long-term effects of alley cropping on soil organic carbon (soc) over more than a decade.

analyze the impact of different tree species and alley widths on soc levels in alley cropping systems.

explore the relationship between biomass carbon input and tree age in alley cropping systems."
agroforestry practices and systems,10.1007/s13593-023-00927-3,"the literature search strategy involved using scopus and web of science databases in september 2022. the search string included terms related to agroforestry and mediterranean regions, yielding 1203 records, refined to 627 documents after removing duplicates.","the selection criteria for the meta-analysis included:

yield data per unit area of annual crops in both sole cropping and agroforestry systems.

information on experiment design and data replication.

data variance information.

geographic area within mediterranean climatic zones.

consistent agronomic practices between systems.

exclusion of studies from controlled environments and those presenting only modeled results or reviews.","the authors used linear mixed models to analyze data, focusing on fixed effects like fertilization and crop species. they conducted sensitivity analyses and calculated akaike information criterion (aic) values to assess model performance. the analysis revealed significant effects and potential publication bias.","mediterranean basin (mostly spain, then portugal, italy, france, morocco, geece)",y,22,"The main variables considered in the meta-analysis as moderators include:

Tree cover (low, medium, high)

Tree species (ash tree, chestnut, cork oak, holm oak, olive, poplar, walnut)

Crop species (alfalfa, barley, durum wheat, faba bean, forage, oat, pasture, pea, winter wheat)

Management practices (variety, pruning, fertilization, irrigation, crop age classes, imposed warming and drought, harvest time)","the main variables considered in the meta-analysis as moderators include:

tree cover (low, medium, high)

tree species (ash tree, chestnut, cork oak, holm oak, olive, poplar, walnut)

crop species (alfalfa, barley, durum wheat, faba bean, forage, oat, pasture, pea, winter wheat)

management practices (variety, pruning, fertilization, irrigation, crop age classes, imposed warming and drought, harvest time)",crop yield,"agroforestry practices showed an average negative impact of −22.12% on crop yield, with significant variability. management practices like fertilization improved outcomes, while tree competition for light generally reduced yields. however, potential benefits exist under extreme climate conditions if synergies among components are maximized.",NA,NA,potential benefits exist under extreme climate conditions if synergies among components are maximized.,NA,"agroforestry practices showed an average negative impact of −22.12% on crop yield, with significant variability.",no information available.
agroforestry practices and systems,10.1007/s13593-023-00927-3,"the literature search strategy involved using scopus and web of science databases in september 2022. the search string included terms related to agroforestry and mediterranean regions, yielding 1203 records, refined to 627 documents after removing duplicates.","the selection criteria for the meta-analysis included:

yield data per unit area of annual crops in both sole cropping and agroforestry systems.

information on experiment design and data replication.

data variance information.

geographic area within mediterranean climatic zones.

consistent agronomic practices between systems.

exclusion of studies from controlled environments and those presenting only modeled results or reviews.","the authors used linear mixed models to analyze data, focusing on fixed effects like fertilization and crop species. they conducted sensitivity analyses and calculated akaike information criterion (aic) values to assess model performance. the analysis revealed significant effects and potential publication bias.","mediterranean basin (mostly spain, then portugal, italy, france, morocco, geece)",y,22,"The main variables considered in the meta-analysis as moderators include:

Tree cover (low, medium, high)

Tree species (ash tree, chestnut, cork oak, holm oak, olive, poplar, walnut)

Crop species (alfalfa, barley, durum wheat, faba bean, forage, oat, pasture, pea, winter wheat)

Management practices (variety, pruning, fertilization, irrigation, crop age classes, imposed warming and drought, harvest time)","the main variables considered in the meta-analysis as moderators include:

tree cover (low, medium, high)

tree species (ash tree, chestnut, cork oak, holm oak, olive, poplar, walnut)

crop species (alfalfa, barley, durum wheat, faba bean, forage, oat, pasture, pea, winter wheat)

management practices (variety, pruning, fertilization, irrigation, crop age classes, imposed warming and drought, harvest time)",grassland production,non-significant change of pasture yield.,NA,NA,NA,NA,non-significant change of pasture yield.,no information available.
agroforestry practices and systems,10.1016/j.agsy.2023.103705,"search strategy: literature was searched in the web of science and cnki on october 31, 2022, using the keywords “(agroforestry or tree-crop intercropping or tree-based intercropping or tree-crop mixture or alley cropping) and (crop yield or yield) and (china or chinese)”. over 250 articles were returned.","the selection criteria for the studies included in the meta-analysis were:

published in peer-reviewed journals with clear methodology and funding.

field experiments comparing tci systems to sole cropping systems in china.

inclusion of crop yield data for both tci and sole cropping systems.","the authors used spss 20 for statistical analysis, performing normality and variance tests (shapiro–wilk and levene). they applied anova to assess treatment differences and duncan's multiple range tests at the 5% level. meta-analysis utilized the """"metafor"""" package in r for effect size calculations and bias detection.",china including temperate data,n,36,"The meta-analysis examines the effects of Tree-Crop Intercropping (TCI) systems on crop yields in China, comparing them to sole cropping systems. It systematically reviews peer-reviewed studies, focusing on quantitative data and employing statistical methods to analyze the results, including confidence intervals for effect sizes.cardinael","the main objective of the meta-analysis was to evaluate the effects of tree-crop intercropping (tci) systems on crop yields in china, comparing tci systems to sole cropping systems. the primary research questions focused on quantifying these effects and determining their significance. the main variables considered in the meta-analysis as moderators of the effect include:

mean annual temperature (mat): <10 °c, 10–20 °c, >20 °c.

mean annual precipitation (map): <400 mm, 400–800 mm, >800 mm.

experimental year: <2003, 2003–2013, >2013.

region of china: northwest, east, north, south.

climatic zones: temperate monsoon, subtropical monsoon, temperate continental, tropical monsoon.",crop yield,"the agroforestry practices studied generally resulted in decreased main-crop yields, with tci systems showing a 33.8% reduction for fruit trees and 44.6% for material trees. poplar-based systems had the highest yield decrease at 48.9%, while apple-based systems had the lowest at 16.7%.",NA,NA,NA,NA,the agroforestry practices studied generally resulted in decreased main-crop yields.,no information available.
agroforestry practices and systems,10.1016/j.ecoser.2023.101537,"search strategy: a comprehensive search for peer-reviewed studies on agroforestry (af) systems was conducted until june 2021. keywords included 'agroforestry', 'agrisilviculture', 'agrihorticulture', 'agrihortisilviculture', 'silvipasture', 'alley cropping', 'soil organic matter', 'soil organic carbon', 'carbon', and 'carbon sequestration'.","the selection criteria for studies included in the meta-analysis by iano et al. (2018) were:

reports on soil organic carbon comparing agroforestry (af) systems to non-agroforestry land.

information on land use prior to af system adoption.

detailed experimental data (location, age, soil depth, climate).

if soil carbon data was not directly reported, it was estimated using bulk density and soil depth.","the authors used two main statistical methods:

meta-analysis: this combined findings from various studies, assessing heterogeneity with random effect models and evaluating publication bias using funnel plots and egger’s test.

generalized linear mixed (glm) regression model: this determined factors influencing carbon sequestration in agroforestry systems, accounting for regional variability.",india,n,46,"The meta-analysis examines the impact of agroforestry (AF) systems on soil carbon stocks, highlighting their role in enhancing ecosystem services for food security. It synthesizes data from 46 studies, analyzing various AF systems' effectiveness in carbon sequestration across different climates and land uses.","the main objectives of the meta-analysis are to: (i) quantify soil carbon sequestration potential in four agroforestry systems, (ii) evaluate impacts of land use change, soil depth, age, and climate on these systems, (iii) understand drivers of carbon sequestration, and (iv) assess economic feasibility for carbon sequestration.",carbon sequestration,"agroforestry (af) systems generally enhance soil carbon (c) sequestration, with agrisilviculture showing the highest potential. transitioning from grassland or pasture to af increases c stocks, while converting forestland negatively impacts them. all af systems are economically viable and can support carbon trading, aiding climate goals.",NA,NA,NA,NA,"agroforestry (af) systems generally enhance soil carbon (c) sequestration, with agrisilviculture showing the highest potential.","lack of standardization in methods for assessing carbon sequestration in agroforestry systems.

insufficient control plots in studies, leading to inaccurate carbon sequestration estimates.

need for comprehensive understanding of geographical, climatic, and agronomic factors affecting carbon sequestration potential."
agroforestry practices and systems,10.1016/j.scitotenv.2023.164094,"search strategy: databases searched include web of science (130 studies), scopus (197), cab direct (10), and agris (13). manual search identified 5 additional studies. search terms focused on """"life cycle assessment"""" and agroforestry definitions. the geographical scope was global.","the selection criteria for studies included in the meta-analysis were based on pre-defined inclusion criteria from zumsteg et al. (2012) and bilotta et al. (2014). all life cycle impact categories were of interest, focusing on agroforestry-related data and excluding non-agroforestry activities.","the authors used qualitative and descriptive data analysis methods, categorizing data into themes with covidence. they followed yin's (2009) guidelines for data coding, merging themes into aggregated categories for clarity and synthesis. key categories included agroforestry practices and life cycle impact assessment (lcia).",global,y,32,"to evaluate how environmental Life Cycle Assessment (LCA) has been applied in agroforestry in the context of food systems. Thus,","the objective of this paper is threefold. first, to systematically identify, select and review a collection of lca studies on agroforestry in the context of food systems. second, to synthesize the results and methodological choices across the four lca phases. third, this review is used as the basis for discussing results against the most recent findings in köthke et al. (2022) on the environmental outcomes of agroforestry and methodological issues within the lca framework.",global warming potential (lca),"agroforestry practices can potentially improve climate change mitigation. however, results were not statistically tested.",NA,NA,NA,NA,"agroforestry practices can potentially improve climate change mitigation. however, results were not statistically tested.","need for standardized operational indicators and impact categories in life cycle assessment (lca) for agroforestry systems.

limited evidence on biodiversity and carbon sequestration in agrosilvicultural studies.

gaps in understanding non-mainstream environmental impacts within the agroforestry food value chain."
agroforestry practices and systems,10.3389/fsufs.2023.1167686,"search strategy involved querying the isi web of science on april 9, 2022, using keywords related to agroforestry and maize. a total of 945 articles were identified, with 930 assessed and 835 excluded based on relevance criteria. the analysis aimed to inform maize cultivation in agroforestry settings.","the selection criteria for studies included in the meta-analysis were:

growth experiments under field conditions.

reported maize yields in weight per unit area from both agroforestry and valid control settings.

agroforestry component must consist of living trees or woody plants.

valid control settings had no trees or intercrops and received the same agronomic treatment.

exclusions included studies lacking a tree-free control, using different agricultural procedures, or involving livestock.","the authors used the shapiro-wilk normality test to assess data distribution, finding it non-normal (p < 2.2 × 10−16). consequently, they applied the kruskal-wallis test (α = 0.05) to identify significant group differences, visualized with boxplots indicating significance levels.",global,y,95,"The meta-analysis reviewed studies from 1990 to 2021 to assess how agroforestry affects maize yields, focusing on environmental factors and trial design. It aimed to provide evidence-based recommendations for maize cultivation in agroforestry, particularly to support food security and sustainable development goals.","the main objective of the meta-analysis was to assess the effects of agroforestry on maize yields and how these effects vary with environmental and management factors. it aimed to provide scientifically substantiated recommendations for maize cultivation in agroforestry settings. the main variables considered in the meta-analysis as moderators of the effect include: climate factors (aridity index values); hyper arid: <0.03; arid: 0.03–0.2; semi-arid: 0.2–0.5; dry sub-humid: 0.5–0.65; humid: >0.65; soil characteristics: soil texture (sand, clay, loam); soil ph; soil organic carbon (soc) content; total nitrogen (n) content; extractable phosphorus (p) content; trial design factors (e.g., control settings).",crop yield,"agroforestry systems improved maize yields, with a median yield of 2.6 mg ha−1 compared to 1.9 mg ha−1 in control plots.",the absolute yield difference was 0.24 mg ha−1.,the response ratio for maize yields was 7%.,"the analysis included 95 studies with 1,215 treatment-control data pairs.",NA,"agroforestry practices significantly enhance maize yields, with a median increase of 0.24 mg ha−1 (7%). the most substantial benefits occur in n-deficient soils and with n-fixing tree species, achieving up to 0.56 mg ha−1 (60%). positive effects are also linked to tree age and planting density.","need for studies on agroforestry systems with diverse planting patterns, such as parklands and home-gardens.

exploration of the impacts of spatial heterogeneity on yield outcomes in agroforestry settings.

investigation into the long-term effects of tree pruning on soil health and crop productivity."
agroforestry practices and systems,10.1007/s11104-023-06385-w,"search\_strategy: a total of 125 peer-reviewed articles were selected from 932 studies (1990-2022) using google scholar and web of knowledge. keywords included “agroforestry,” “soil quality,” and related terms. the search aimed to avoid publication biases by applying specific inclusion criteria.","the selection criteria for the meta-analysis included: (a) studies with both control (monoculture) and treatment (agroforestry) plots; (b) observations in tropical, temperate, or mediterranean environments; (c) provision of additional information like replication and soil layer; (d) direct reporting of means, sample sizes, and standard deviations or errors.","the authors used meta-analysis to analyze data, calculating the response ratio (rr) and weighted effect size (rr++) using equations involving standard deviations and variances. bootstrapping (9,999 iterations) generated confidence intervals for statistical significance, with a focus on soil physical, chemical, and biological properties.",global,y,125,"The meta-analysis investigates how agroforestry affects soil quality across various climate zones. It highlights agroforestry as a beneficial alternative to conventional farming, improving soil properties and mitigating land degradation, particularly in tropical, temperate, and Mediterranean regions.","the main objective of the meta-analysis is to explore how agroforestry practices influence soil quality across different climate zones. the primary research questions include: (i) does agroforestry improve all soil quality indicators? (ii) what are the net effects of agroforestry on soil quality in tropical, temperate, and mediterranean regions?",carbon sequestration,"agroforestry practices significantly improve soil carbon pools. overall, agroforestry benefits soil quality, but effects vary by climate type.",NA,NA,NA,NA,"agroforestry practices significantly improve soil carbon pools. overall, agroforestry benefits soil quality, but effects vary by climate type.","need for a comprehensive meta-analysis across various climatic zones to understand agroforestry's impact on soil properties.

identification of regulatory factors affecting agroforestry success and positive outcomes.

exploration of agroforestry's effects on soil health indicators under different management strategies."
agroforestry practices and systems,10.1007/s11104-023-06385-w,"search\_strategy: a total of 125 peer-reviewed articles were selected from 932 studies (1990-2022) using google scholar and web of knowledge. keywords included “agroforestry,” “soil quality,” and related terms. the search aimed to avoid publication biases by applying specific inclusion criteria.","the selection criteria for the meta-analysis included: (a) studies with both control (monoculture) and treatment (agroforestry) plots; (b) observations in tropical, temperate, or mediterranean environments; (c) provision of additional information like replication and soil layer; (d) direct reporting of means, sample sizes, and standard deviations or errors.","the authors used meta-analysis to analyze data, calculating the response ratio (rr) and weighted effect size (rr++) using equations involving standard deviations and variances. bootstrapping (9,999 iterations) generated confidence intervals for statistical significance, with a focus on soil physical, chemical, and biological properties.",global,y,125,"The meta-analysis investigates how agroforestry affects soil quality across various climate zones. It highlights agroforestry as a beneficial alternative to conventional farming, improving soil properties and mitigating land degradation, particularly in tropical, temperate, and Mediterranean regions.","the main objective of the meta-analysis is to explore how agroforestry practices influence soil quality across different climate zones. the primary research questions include: (i) does agroforestry improve all soil quality indicators? (ii) what are the net effects of agroforestry on soil quality in tropical, temperate, and mediterranean regions?",soil biological quality,"agroforestry practices significantly enhance microbial communities across various climates. overall, agroforestry benefits soil quality, but effects vary by climate type.",NA,NA,NA,NA,"agroforestry practices significantly enhance microbial communities across various climates. overall, agroforestry benefits soil quality, but effects vary by climate type.","need for a comprehensive meta-analysis across various climatic zones to understand agroforestry's impact on soil properties.

identification of regulatory factors affecting agroforestry success and positive outcomes.

exploration of agroforestry's effects on soil health indicators under different management strategies."
agroforestry practices and systems,10.1007/s11104-023-06385-w,"search\_strategy: a total of 125 peer-reviewed articles were selected from 932 studies (1990-2022) using google scholar and web of knowledge. keywords included “agroforestry,” “soil quality,” and related terms. the search aimed to avoid publication biases by applying specific inclusion criteria.","the selection criteria for the meta-analysis included: (a) studies with both control (monoculture) and treatment (agroforestry) plots; (b) observations in tropical, temperate, or mediterranean environments; (c) provision of additional information like replication and soil layer; (d) direct reporting of means, sample sizes, and standard deviations or errors.","the authors used meta-analysis to analyze data, calculating the response ratio (rr) and weighted effect size (rr++) using equations involving standard deviations and variances. bootstrapping (9,999 iterations) generated confidence intervals for statistical significance, with a focus on soil physical, chemical, and biological properties.",global,y,125,"The meta-analysis investigates how agroforestry affects soil quality across various climate zones. It highlights agroforestry as a beneficial alternative to conventional farming, improving soil properties and mitigating land degradation, particularly in tropical, temperate, and Mediterranean regions.","the main objective of the meta-analysis is to explore how agroforestry practices influence soil quality across different climate zones. the primary research questions include: (i) does agroforestry improve all soil quality indicators? (ii) what are the net effects of agroforestry on soil quality in tropical, temperate, and mediterranean regions?",soil erosion,agroforestry practices significantly reduce soil erosion.,NA,NA,NA,NA,agroforestry practices significantly reduce soil erosion.,"need for a comprehensive meta-analysis across various climatic zones to understand agroforestry's impact on soil properties.

identification of regulatory factors affecting agroforestry success and positive outcomes.

exploration of agroforestry's effects on soil health indicators under different management strategies."
agroforestry practices and systems,10.1007/s11104-023-06385-w,"search\_strategy: a total of 125 peer-reviewed articles were selected from 932 studies (1990-2022) using google scholar and web of knowledge. keywords included “agroforestry,” “soil quality,” and related terms. the search aimed to avoid publication biases by applying specific inclusion criteria.","the selection criteria for the meta-analysis included: (a) studies with both control (monoculture) and treatment (agroforestry) plots; (b) observations in tropical, temperate, or mediterranean environments; (c) provision of additional information like replication and soil layer; (d) direct reporting of means, sample sizes, and standard deviations or errors.","the authors used meta-analysis to analyze data, calculating the response ratio (rr) and weighted effect size (rr++) using equations involving standard deviations and variances. bootstrapping (9,999 iterations) generated confidence intervals for statistical significance, with a focus on soil physical, chemical, and biological properties.",global,y,125,"The meta-analysis investigates how agroforestry affects soil quality across various climate zones. It highlights agroforestry as a beneficial alternative to conventional farming, improving soil properties and mitigating land degradation, particularly in tropical, temperate, and Mediterranean regions.","the main objective of the meta-analysis is to explore how agroforestry practices influence soil quality across different climate zones. the primary research questions include: (i) does agroforestry improve all soil quality indicators? (ii) what are the net effects of agroforestry on soil quality in tropical, temperate, and mediterranean regions?",soil nutrients,agroforestry practices significantly improve soil nutrients pool.,NA,NA,NA,NA,agroforestry practices significantly improve soil nutrients pool.,"need for a comprehensive meta-analysis across various climatic zones to understand agroforestry's impact on soil properties.

identification of regulatory factors affecting agroforestry success and positive outcomes.

exploration of agroforestry's effects on soil health indicators under different management strategies."
agroforestry practices and systems,10.1007/s11104-023-06385-w,"search\_strategy: a total of 125 peer-reviewed articles were selected from 932 studies (1990-2022) using google scholar and web of knowledge. keywords included “agroforestry,” “soil quality,” and related terms. the search aimed to avoid publication biases by applying specific inclusion criteria.","the selection criteria for the meta-analysis included: (a) studies with both control (monoculture) and treatment (agroforestry) plots; (b) observations in tropical, temperate, or mediterranean environments; (c) provision of additional information like replication and soil layer; (d) direct reporting of means, sample sizes, and standard deviations or errors.","the authors used meta-analysis to analyze data, calculating the response ratio (rr) and weighted effect size (rr++) using equations involving standard deviations and variances. bootstrapping (9,999 iterations) generated confidence intervals for statistical significance, with a focus on soil physical, chemical, and biological properties.",global,y,125,"The meta-analysis investigates how agroforestry affects soil quality across various climate zones. It highlights agroforestry as a beneficial alternative to conventional farming, improving soil properties and mitigating land degradation, particularly in tropical, temperate, and Mediterranean regions.","the main objective of the meta-analysis is to explore how agroforestry practices influence soil quality across different climate zones. the primary research questions include: (i) does agroforestry improve all soil quality indicators? (ii) what are the net effects of agroforestry on soil quality in tropical, temperate, and mediterranean regions?",soil physico-chemical quality,"agroforestry practices significantly improve soil water infiltration, reduce soil erosion, and enhance microbial communities across various climates. however, they may decrease soil moisture in mediterranean and tropical climates. overall, agroforestry benefits soil quality, but effects vary by climate type.",NA,NA,NA,NA,agroforestry practices significantly improve soil water infiltration.,"need for a comprehensive meta-analysis across various climatic zones to understand agroforestry's impact on soil properties.

identification of regulatory factors affecting agroforestry success and positive outcomes.

exploration of agroforestry's effects on soil health indicators under different management strategies."
agroforestry practices and systems,10.1007/s11104-023-06385-w,"search\_strategy: a total of 125 peer-reviewed articles were selected from 932 studies (1990-2022) using google scholar and web of knowledge. keywords included “agroforestry,” “soil quality,” and related terms. the search aimed to avoid publication biases by applying specific inclusion criteria.","the selection criteria for the meta-analysis included: (a) studies with both control (monoculture) and treatment (agroforestry) plots; (b) observations in tropical, temperate, or mediterranean environments; (c) provision of additional information like replication and soil layer; (d) direct reporting of means, sample sizes, and standard deviations or errors.","the authors used meta-analysis to analyze data, calculating the response ratio (rr) and weighted effect size (rr++) using equations involving standard deviations and variances. bootstrapping (9,999 iterations) generated confidence intervals for statistical significance, with a focus on soil physical, chemical, and biological properties.",global,y,125,"The meta-analysis investigates how agroforestry affects soil quality across various climate zones. It highlights agroforestry as a beneficial alternative to conventional farming, improving soil properties and mitigating land degradation, particularly in tropical, temperate, and Mediterranean regions.","the main objective of the meta-analysis is to explore how agroforestry practices influence soil quality across different climate zones. the primary research questions include: (i) does agroforestry improve all soil quality indicators? (ii) what are the net effects of agroforestry on soil quality in tropical, temperate, and mediterranean regions?",soil water retention,"agroforestry practices significantly improve soil water infiltration, reduce soil erosion, and enhance microbial communities across various climates. however, they may decrease soil moisture in mediterranean and tropical climates. overall, agroforestry benefits soil quality, but effects vary by climate type.",NA,NA,NA,NA,"agroforestry practices significantly improve soil water infiltration. however, they may decrease soil moisture in mediterranean and tropical climates. overall, agroforestry benefits soil quality, but effects vary by climate type.","need for a comprehensive meta-analysis across various climatic zones to understand agroforestry's impact on soil properties.

identification of regulatory factors affecting agroforestry success and positive outcomes.

exploration of agroforestry's effects on soil health indicators under different management strategies."
agroforestry practices and systems,10.1111/gcb.17036,"search strategy included databases wos and scielo. the search was conducted in march 2021 using three strings: (1) geographic areas of afs in latin america's montane regions, (2) definitions of afs, and (3) terms related to biad and efs. total studies included: 78.","the selection criteria for studies included in the meta-analysis were: geographical scope (latin america, mountain ecosystems), study type (only field studies), and methodological procedures (relevant comparisons of biodiversity or ecosystem functions in agroforestry systems relative to similar land uses without trees).","the authors used a meta-analysis approach, calculating response ratios (rr) to estimate effect sizes. they also computed the i² index to assess heterogeneity among studies and applied weighted meta-analysis for studies reporting variances.",latin america,n,78,"The meta-analysis examines agroforestry systems (AFS) and their environmental benefits, focusing on biodiversity, carbon sequestration, and nutrient provisioning. It analyzes data from various studies across Latin America, highlighting AFS's positive impacts compared to traditional land uses like croplands and pasturelands.","the main objectives of the meta-analysis were to quantify the pros and cons of agroforestry systems (afs) compared to croplands, pasturelands, and forest land regarding ecosystem functions (efs). key research questions focused on the impacts of afs on biological activity and diversity, carbon sequestration, nutrient provisioning, erosion control, and yield production.",carbon sequestration,"agroforestry practices, specifically silvoarable and silvopastoral systems, positively impact biological activity, diversity, and ecosystem functions compared to treeless systems. however, outcomes depend on site-specific conditions and management practices, with variable effects on erosion control and crop yields.",NA,NA,NA,NA,"agroforestry practices, specifically silvoarable and silvopastoral systems, positively impact biological activity, diversity, and ecosystem functions compared to treeless systems. however, outcomes depend on site-specific conditions and management practices, with variable effects on erosion control and crop yields.",no information available.
agroforestry practices and systems,10.1111/gcb.17036,"search strategy included databases wos and scielo. the search was conducted in march 2021 using three strings: (1) geographic areas of afs in latin america's montane regions, (2) definitions of afs, and (3) terms related to biad and efs. total studies included: 78.","the selection criteria for studies included in the meta-analysis were: geographical scope (latin america, mountain ecosystems), study type (only field studies), and methodological procedures (relevant comparisons of biodiversity or ecosystem functions in agroforestry systems relative to similar land uses without trees).","the authors used a meta-analysis approach, calculating response ratios (rr) to estimate effect sizes. they also computed the i² index to assess heterogeneity among studies and applied weighted meta-analysis for studies reporting variances.",latin america,n,78,"The meta-analysis examines agroforestry systems (AFS) and their environmental benefits, focusing on biodiversity, carbon sequestration, and nutrient provisioning. It analyzes data from various studies across Latin America, highlighting AFS's positive impacts compared to traditional land uses like croplands and pasturelands.","the main objectives of the meta-analysis were to quantify the pros and cons of agroforestry systems (afs) compared to croplands, pasturelands, and forest land regarding ecosystem functions (efs). key research questions focused on the impacts of afs on biological activity and diversity, carbon sequestration, nutrient provisioning, erosion control, and yield production.",grassland production,"agroforestry practices, specifically silvopastoral systems have non-significant effects on pasture or forage yields.",NA,NA,NA,NA,"agroforestry practices, specifically silvoarable and silvopastoral systems, positively impact biological activity, diversity, and ecosystem functions compared to treeless systems. however, outcomes depend on site-specific conditions and management practices, with variable effects on erosion control and crop yields.",no information available.
agroforestry practices and systems,10.1111/gcb.17036,"search strategy included databases wos and scielo. the search was conducted in march 2021 using three strings: (1) geographic areas of afs in latin america's montane regions, (2) definitions of afs, and (3) terms related to biad and efs. total studies included: 78.","the selection criteria for studies included in the meta-analysis were: geographical scope (latin america, mountain ecosystems), study type (only field studies), and methodological procedures (relevant comparisons of biodiversity or ecosystem functions in agroforestry systems relative to similar land uses without trees).","the authors used a meta-analysis approach, calculating response ratios (rr) to estimate effect sizes. they also computed the i² index to assess heterogeneity among studies and applied weighted meta-analysis for studies reporting variances.",latin america,n,78,"The meta-analysis examines agroforestry systems (AFS) and their environmental benefits, focusing on biodiversity, carbon sequestration, and nutrient provisioning. It analyzes data from various studies across Latin America, highlighting AFS's positive impacts compared to traditional land uses like croplands and pasturelands.","the main objectives of the meta-analysis were to quantify the pros and cons of agroforestry systems (afs) compared to croplands, pasturelands, and forest land regarding ecosystem functions (efs). key research questions focused on the impacts of afs on biological activity and diversity, carbon sequestration, nutrient provisioning, erosion control, and yield production.",crop yield,"agroforestry practices, specifically silvoarable and silvopastoral systems, positively impact biological activity, diversity, and ecosystem functions compared to treeless systems. however, outcomes depend on site-specific conditions and management practices, with variable effects on erosion control and crop yields.",NA,NA,NA,NA,"agroforestry practices, specifically silvoarable and silvopastoral systems, positively impact biological activity, diversity, and ecosystem functions compared to treeless systems. however, outcomes depend on site-specific conditions and management practices, with variable effects on erosion control and crop yields.",no information available.
