fpid,type,text,footnotes
Peatland management,Definition of the farming practice2,"Peatlands are generally classified as bogs and fens. Bogs are fed mainly by rain and snow, while fens develop in landscape depressions and are fed with surface and/or ground water. Other names referring to peatlands found in this review are swamp, and wet heath, though the search string included more synonyms (see section 4). Carbon-rich soils are included in this definition. These soils have and organic layer usually with >15 % of organic matter. However, the synthesis papers included in this review do not clearly define what they consider carbon-rich soils and thus we rely on authors' knowledge and criteria to include individual studies in their reviews.",NA
Peatland management,Definition of the farming practice3,"This review focuses on peatlands under agricultural use and thus, and though not clearly stated on the papers reviewed, includes mostly drained peatlands.",NA
Peatland management,Definition of the farming practice4,"This review includes interventions towards an improved and more sustainable management of peatlands. Specific interventions have been proposed such as low tillage, ban of burning, paludiculture, etc.","Joosten, et al. 2012. Peatlands-Guidance for climate change mitigation, conservation, rehabilitation and sustainable use. Mitigation of climate change in Agriculture Series 5 (FAO)."
Peatland management,Definition of the farming practice5,In this literature review we have found evidence for the following management interventions:,NA
Peatland management,Definition of the farming practice6,"No fertilisation. Fertilisers are natural or synthetic substances containing chemical elements such as nitrogen (N), phosphorus (P) and potassium (K) that are applied to soils to improve growth and productiveness of plants.",https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Glossary:Fertiliser
Peatland management,Definition of the farming practice7,"Fertilisation, and in particular N inputs in wetlands, might promote greenhouse gas emissions by changing element cycling.","Chen, M, Chang, L, Zhang, J et al. 2020. Global nitrogen input on wetland ecosystem: The driving mechanism of soil labile carbon and nitrogen on greenhouse gas emissions. Environmental Science and Ecotechnology, 4, 100063."
Peatland management,Definition of the farming practice8,"Here, no fertilised peatlands are compared to fertilised ones.",NA
Peatland management,Definition of the farming practice9,"Grazing is a method of animal husbandry in which livestock are allowed to feed outdoors consuming wild vegetation. The direction and magnitude of grazing impacts on ecosystem properties depends on grazing management such as stocking density, grazing duration and grazer species.","Paz-Kagan, T, Ohana-Levi, N, Herrmann, I et al. 2016. Grazing intensity effects on soil quality: a spatial analysis of a Mediterranean grassland. Catena, 146, 100-110."
Peatland management,Definition of the farming practice10,"Here, grazed peatlands (comprising different management intensities and levels of drainage) are compared to mowed peatlands.",NA
Peatland management,Definition of the farming practice11,"No burning. Burning is a routinely vegetation management practice conducted in some in some areas with the objective of stimulating the growth of grasses, maintaining these areas in young productive successional stages and increasing heterogeneity at the landscape scale and thus, supporting biodiversity.","Stewart, GB, Coles, C F, Pullin, AS. 2005. Applying evidence-based practice in conservation management: Lessons from the First systematic review and dissemination projects, 126, 270-278."
Peatland management,Definition of the farming practice12,"However, peatland burning releases carbon to the atmosphere and banning this practice has been suggested as a measure to reduce GHG emissions.",NA
Peatland management,Definition of the farming practice13,"Low intensity farming comprises a wide variety of farming practices analysed together and that refer mainly to the maintenance of permanent and extensive grasslands and fallowing in peatlands, including extensive livestock grazing, mowing and the lack of fertiliser inputs.","Haddaway, NR, Burden, A, Evans, CD, et al. 2014. Evaluating effects of land management on greenhouse gas fluxes and carbon balances in boreo-temperate lowland peatland systems. Environmental Evidence, 3."
Peatland management,What does the definition of the FP include?1,"These fiches focus on peatlands and the management practices conducted in these habitats. However, some of these farming practices are also explored more broadly without distinguishing the habitat type devoted to agricultural use in other sets of fiches (i.e, organic fertilisation and grazing fiches).",NA
Peatland management,What does the definition of the FP exclude?1,"This review does not include peatland conservation or restoration, which are assessed in separate sets of fiches (i.e., peatland conservation and restoration).",NA
Pesticides reduction strategies,FP ID,Pesticide reduction strategies,NA
Pesticides reduction strategies,Definition of the farming practice1,"The goal of pesticide reduction strategies is to reduce the use of pesticides in cropping systems, while maintaining their productivity and economic profitability compared to systems based on intensive use of pesticides.","A 'pesticide' is something that prevents, destroys, or controls a harmful organism ('pest') or disease, or protects plants or plant products during production, storage and transport. The term includes, amongst others: herbicides, fungicides, insecticides, acaricides, nematicides, molluscicides, rodenticides, growth regulators, repellents, rodenticides and biocides.  https://ec.europa.eu/food/plant/pesticides_en#:~:text=A%20'pesticide'%20is%20something%20that,during%20production%2C%20storage%20and%20transport"
Pesticides reduction strategies,What does the definition of the FP include?1,"Pesticide reduction strategies (vs appropriate comparators) are implemented by combining pesticide reduction with different practices, in particular:",NA
Pesticides reduction strategies,What does the definition of the FP include?2,"• Decision-Support-System-based control strategy (compared to calendar-based control strategy): pesticide applications are scheduled according to information on pest and disease risk levels, in contrast to calendar-based control strategy where the treatments are fixed and planned in advance regardless of local conditions,",NA
Pesticides reduction strategies,What does the definition of the FP include?3,"• Genetically modified (GM) crops (compared to non-GM crops),",NA
Pesticides reduction strategies,What does the definition of the FP include?4,"• Companion plants (compared to weeded control, i.e. systems where weeds are controlled by herbicide applications only): plants sown not to be harvested, but to provide added economic or environmental benefits, such as decreasing the risk of crop failure, controlling weeds and pests, and improving soil fertility","Liebman and Dyck, 1993. Crop rotation and intercropping strategies for weed management. Ecol. Appl. 3, 92"
Pesticides reduction strategies,What does the definition of the FP include?6,"• Low-input systems (compared to conventional systems): systems seeking to minimize the use of purchased production inputs by optimizing the management of internal production inputs to lower production costs, to avoid pollution of surface and ground water, to reduce pesticide residues in food, to reduce the farmer's overall risk, and to increase both short- and long-term farm profitability","Parr et al., 1990. Sustainable agriculture in the United States. In: C.A. Edwards et al., editors, Sustainable agricultural systems.  Soil and  Water  Conserv. Soc., Ankeny, IA. p. 50-67. "
Pesticides reduction strategies,What does the definition of the FP include?8,• Integrated pest management (compared to no-integrated pest management): integrated pest management means careful consideration of all available plant protection methods and subsequent integration of appropriate measures that discourage the development of populations of harmful organisms and keep the use of plant protection products and other forms of intervention to levels that are economically and ecologically justified and reduce or minimise risks to human health and the environment,https://ec.europa.eu/food/plant/pesticides/sustainable_use_pesticides/ipm_en
Pesticides reduction strategies,What does the definition of the FP exclude?1,"• In this review, organic farming was excluded, as its impacts are assessed in a separate set of fiches.",NA
Soil amendment with biochar,FP ID,Soil amendment with biochar,NA
Soil amendment with biochar,Definition of the farming practice1,"Biochar application to soils is being considered as a means to sequester carbon (C) while concurrently improving soil functions. Biochar is charcoal that is produced by pyrolysis of biomass in the absence of oxygen, it is used as a soil ameliorant for both carbon sequestration and soil health benefits. Biochar is a stable solid that is rich in carbon and can endure in soil for thousands of years","Lean, Geoffrey (7 December 2008). ""Ancient skills 'could reverse global warming' "". The Independent. Archived from the original on 13 September 2011. Retrieved 1 October 2011"
Soil amendment with biochar,Definition of the farming practice2,Biochar is being investigated as a means of carbon sequestration,"Lean, Geoffrey (7 December 2008). ""Ancient skills 'could reverse global warming' "". The Independent. Archived from the original on 13 September 2011. Retrieved 1 October 2012"
Soil amendment with biochar,Definition of the farming practice3,", and it may be a means to mitigate global warming and climate change","Yousaf, Balal, Liu, Guijian, Wang, Ruwei, Abbas, Qumber, Imtiaz, Muhammad, Liu, Ruijia (2016). ""Investigating the biochar effects on C-mineralization and sequestration of carbon in soil compared with conventional amendments using stable isotope (?13C) approach"". GCB Bioenergy. 9 (6): 1085-1099. doi:10.1111/gcbb.12401"
Soil amendment with biochar,What does the definition of the FP include?1,"A wide range of biomass types such as manure, sawdust, rice husk, wheat straw, corn cobs, sewage sludge, municipal wastes, crop residues and compost are used as feedstock to produce biochar","Islam MU, Jiang F, Guo Z, Peng X, 2021. Does biochar application improve soil aggregation? A meta-analysis. Soil Tillage Res, 209:104926. Available from: https://doi.org/10.1016/j.still.2020.104926"
Soil amendment with lime and gypsum,FP ID,Soil amendment with lime or gypsum,NA
Soil amendment with lime and gypsum,Definition of the farming practice1,"Soil amendments are the practices used to improve the soil quality in terms of its structure and biochemical function. Most amendments use calcium-containing minerals, such as lime or gypsum. Both types of amendment have  different chemical properties, as explained in Key descriptors.",https://agbmps.osu.edu/bmp/amending-soils-lime-or-gypsum-nrcs-333
Soil amendment with lime and gypsum,What does the definition of the FP include?1,"Different types of calcium-containing minerals are used in practice, in particular:",https://www.kzndard.gov.za/images/Documents/researchandtechnologydevelopment/publications/researchreports/2015_13_Agricultural_uses_of_lime_and_gypsum.pdf
Soil amendment with lime and gypsum,What does the definition of the FP include?2,"Lime refers to a material that can come in different forms, especially calcium carbonate (CaCO3) and magnesium carbonate (MgCO3). It is used to reduce soil acidity and to add calcium or magnesium to the soil. ",http://www.gypsoil.com/news-and-events/gypsum-and-lime
Soil amendment with lime and gypsum,What does the definition of the FP include?3,"Gypsum, or calcium sulfate dihydrate, (CaSO4 ·2H?O), is a neutral salt. It can be used to improve soil calcium and sulphur levels. Gypsum is about 200 times more soluble than agricultural lime, allowing it to move readily down the soil profile where it can help to alleviate a range of subsoil problems. In some acid soils, gypsum can be used to ameliorate subsoil aluminium toxicity, while in saline alkaline soils to alleviate sodium toxicity and to regulate soil pH, bulk density and water infiltration. ",NA
Water-saving irrigation practices in flooded lands,FP ID,Water-saving irrigation practices in flooded lands,NA
Water-saving irrigation practices in flooded lands,Definition of the farming practice1,"Water-saving irrigation practices aim to reduce water use in irrigated fields. In flooded lands, specifically in rice paddy fields, the common feature of water-saving irrigation techniques is to keep the field in a water-free or thin water layer condition at a certain growth stage, by introducing short term drainage of flooding water during the rice cultivation.","Qiu et al., 2022. Effect of Irrigation and Fertilizer Management on Rice Yield and Nitrogen Loss: A Meta-Analysis. Plants, 11(13), 1690, https://doi.org/10.3390/plants11131690"
Water-saving irrigation practices in flooded lands,Definition of the farming practice2,and,"Yagi et al., 2019. Potential and promisingness of technical options for mitigating greenhouse gas emissions from rice cultivation in Southeast Asian countries. SOIL SCIENCE AND PLANT NUTRITION, 66 (1), 37-49, https://doi.org/10.1080/00380768.2019.1683890"
Water-saving irrigation practices in flooded lands,Definition of the farming practice3,Continuous flooding corresponds to flooding rice paddies throughout the growing season.,"Climate and Clean Air Coalition, 2014. https://www.ccacoalition.org/en/activity/paddy-rice-production"
Water-saving irrigation practices in flooded lands,What does the definition of the FP include?1,"In this review, different water-saving irrigation practices applied in flooded lands are compared to continuous flooding.",NA
Water-saving irrigation practices in flooded lands,What does the definition of the FP include?2,Water-saving irrigation practices in flooded lands in this review include:,NA
Water-saving irrigation practices in flooded lands,What does the definition of the FP include?3,"water-saving irrigation practices that vary according to the number of drainages applied during the rice growing season (single or multiple), irrigation water amount, and irrigation schedule (e.g. alternate wet and dry irrigation, intermittent irrigation, mid-season drainage, controlled irrigation, moist irrigation, shallow irrigation and deep storage, thin and wet irrigation),",NA
Water-saving irrigation practices in flooded lands,What does the definition of the FP include?4,"drip irrigation,",NA
Water-saving irrigation practices in flooded lands,What does the definition of the FP include?5,"dry cultivation,",Non-flooded rice but might be irrigated.
Water-saving irrigation practices in flooded lands,What does the definition of the FP include?6,In some studies the effect of water-saving irrigation practice compared to continuous flooding is not provided separately for each water-saving practice.,NA
Water-saving irrigation practices in flooded lands,What does the definition of the FP include?7,"Please, note that this is not an exhaustive list of all water-saving irrigation techniques in flooded lands, but of those found in the synthesis papers that meet the requirements to be included in our review.",NA
Water-saving irrigation practices in flooded lands,What does the definition of the FP include?9,"Please, note that some water-saving irrigation practices included in this review were not clearly defined by the authors (e.g., moist irrigation, shallow irrigation and deep storage, thin and wet irrigation).",NA
Water-saving irrigation practices in flooded lands,What does the definition of the FP exclude?1,"This review does not present the results of the comparisons between water-saving and non-water saving irrigation practices in non-flooded lands and between no irrigation and non-water saving irrigation practices, as these two types of alternative comparisons are presented in two separate sets of fiches.",NA
Water-saving irrigation practices in flooded lands,What does the definition of the FP exclude?2,This review does not include irrigation practices applied in non-agricultural land or in non-flooded lands.,NA
Water-saving irrigation practices in non-flooded lands,FP ID,Water-saving irrigation practices in non-flooded lands,NA
Water-saving irrigation practices in non-flooded lands,Definition of the farming practice1,Water-saving irrigation practices aim to satisfy crop water requirements while improving the timing and reliability of water deliveries to minimize water use.,"FAO, 2017. Does improved irrigation technology save water? Available at: https://www.fao.org/3/I7090EN/i7090en.pdf"
Water-saving irrigation practices in non-flooded lands,Definition of the farming practice2,"Non water-saving irrigation practices are standard techniques of irrigation that supply water to the crop in order to increasing crop productivity, with no intention of minimizing water use.","European Parliamentary Research Service, 2019. Irrigation in EU agriculture. Available at: https://www.europarl.europa.eu/RegData/etudes/BRIE/2019/644216/EPRS_BRI(2019)644216_EN.pdf"
Water-saving irrigation practices in non-flooded lands,What does the definition of the FP include?1,Water-saving irrigation practices in non-flooded lands included in this review are:,NA
Water-saving irrigation practices in non-flooded lands,What does the definition of the FP include?2,aerated irrigation: irrigation practice characterised by the delivery of aerated water directly to the root zone by subsurface drip irrigation.,"Du, Y. D., Niu, W. Q., Gu, X. B., Zhang, Q., Cui, B. J., & Zhao, Y. (2018). Crop yield and water use efficiency under aerated irrigation: A meta-analysis. Agricultural Water Management, 210, 158-164."
Water-saving irrigation practices in non-flooded lands,What does the definition of the FP include?3,deficit irrigation: an irrigation practice whereby water supply is reduced below maximum levels and mild stress is allowed with minimal effects on yield.,"Unlocking the Water Potential of Agriculture, FAO, 2003."
Water-saving irrigation practices in non-flooded lands,What does the definition of the FP include?4,optimised irrigation period: irrigation during crucial stages of the growing season.,"e.g. He, G., Cui, Z., Ying, H., Zheng, H., Wang, Z., & Zhang, F. (2017). Managing the trade-offs among yield increase, water resources inputs and greenhouse gas emissions in irrigated wheat production systems. Journal of Cleaner Production, 164, 567-574, Quemada, M., Baranski, M., Nobel-de Lange, M. N. J., Vallejo, A., & Cooper, J. M. (2013). Meta-analysis of strategies to control nitrate leaching in irrigated agricultural systems and their effects on crop yield. Agriculture, ecosystems & environment, 174, 1-10."
Water-saving irrigation practices in non-flooded lands,What does the definition of the FP include?5,"partial root-zone drying: a modified version of deficit irrigation where approximately half of the root system is in a dry state, while the remaining half is irrigated.","Sonawane, A.V. & Shrivastava, P.K. (2022) Partial root zone drying method of irrigation: A review. Irrigation and Drainage, 71( 3), 574- 588. doi:10.1002/ird.2686"
Water-saving irrigation practices in non-flooded lands,What does the definition of the FP include?6,reduced irrigation amount: reducing the amount of water used for irrigation.,"e.g. He, G., Cui, Z., Ying, H., Zheng, H., Wang, Z., & Zhang, F. (2017). Managing the trade-offs among yield increase, water resources inputs and greenhouse gas emissions in irrigated wheat production systems. Journal of Cleaner Production, 164, 567-574, Du, Y. D., Niu, W. Q., Gu, X. B., Zhang, Q., Cui, B. J., & Zhao, Y. (2018). Crop yield and water use efficiency under aerated irrigation: A meta-analysis. Agricultural Water Management, 210, 158-164, Bai, X., Zhang, Z., Cui, J., Liu, Z., Chen, Z., & Zhou, J. (2020). Strategies to mitigate nitrate leaching in vegetable production in China: a meta-analysis. Environmental Science and Pollution Research, 27, 18382-18391."
Water-saving irrigation practices in non-flooded lands,What does the definition of the FP include?7,drip irrigation: water is dripped onto the soil at very low rates (2-20 litres/hour) from a system of small diameter plastic pipes fitted with outlets called emitters or drippers. Water can be applied at the surface (surface drip irrigation) or underground (subsurface drip irrigation).,"FAO, Irrigation Water Management: Irrigation Methods. Training manual no 5"
Water-saving irrigation practices in non-flooded lands,What does the definition of the FP include?8,"irrigation using water from other source: irrigation using reclaimed, brackish, saline, or treated waste water rather than fresh water.","e.g. Liu, X., Zhang, L., Yang, F., & Zhou, W. (2023). Determining reclaimed water quality thresholds and farming practices to improve food crop yield: A meta-analysis combined with random forest model. Science of The Total Environment, 862, 160774, Cheng, M., Wang, H., Fan, J., Wang, X., Sun, X., Yang, L., ... & Zhang, F. (2021). Crop yield and water productivity under salty water irrigation: A global meta-analysis. Agricultural Water Management, 256, 107105, Gao, Y., Shao, G., Wu, S., Xiaojun, W., Lu, J., & Cui, J. (2021). Changes in soil salinity under treated wastewater irrigation: A meta-analysis. Agricultural Water Management, 255, 106986."
Water-saving irrigation practices in non-flooded lands,What does the definition of the FP include?9,"In this review, these practices are compared to 1) non-water saving irrigation practices in non-flooded lands, such as sprinkler irrigation, furrow irrigation, center pivot irrigation, full or supplemental irrigation, or to 2) an alternative water-saving irrigation practice in non-flooded lands.",NA
Water-saving irrigation practices in non-flooded lands,What does the definition of the FP exclude?1,This review does not present the results of the comparisons between water-saving irrigation practices and continuous flooding in flooded lands and between no irrigation and non-water saving irrigation practices as these comparisons are presented in two separate sets of fiches.,NA
Water-saving irrigation practices in non-flooded lands,What does the definition of the FP exclude?2,This review does not include irrigation practices applied in non-agricultural land.,NA
Wetland conservation and restoration,FP ID,Wetland conservation and restoration,NA
Wetland conservation and restoration,Definition of the farming practice1,"Wetlands are areas where water is the primary factor controlling the environment and the associated plant and animal life. The Ramsar Convention on Wetlands adopts a broad definition of wetlands. It includes lakes and rivers, underground aquifers, swamps and marshes, wet grasslands, peatlands, oases, estuaries, deltas and tidal flats, mangroves and other coastal areas, coral reefs, and all human-made sites such as fish ponds, rice paddies, reservoirs and salt pans.",Ramsar Convention on Wetlands: https://www.ramsar.org/sites/default/files/documents/library/current_convention_text_e.pdf
Wetland conservation and restoration,Definition of the farming practice2,"However, this review does not include all these wetland types either because they are not well represented in the scientific literature or because they are not relevant in a European context. Besides, this review does not include peatlands and carbon rich soils, whose conservation, restoration and management are assessed in separate sets of fiches.",NA
Wetland conservation and restoration,Definition of the farming practice3,  This review includes interventions in wetlands related to:,NA
Wetland conservation and restoration,Definition of the farming practice4,"Conservation refers to the preservation (i.e., no transformation to other land uses) of natural non-disturbed wetlands compared to either degraded or restored wetlands. The degraded wetlands found in this review are mainly affected by alterations in their water regime due to drainage and/or conversion to cropland or pasture, or by their conversion into aquaculture ponds or other constructed wetlands. The restored wetlands found in this review have been subject to different interventions including water flow re-establishment, revegetation or addition of a sediment layer.",NA
Wetland conservation and restoration,Definition of the farming practice5,"Restoration methods found in this review are classified into three main classes: management of invasive plant species, management of water regime and a general class with several restoration methods pooled together. Restoration by managing invasive plant species includes the use of chemical (herbicides) and mechanical (tilling, disking, mowing, crushing, cutting and uprooting) control methods, as well as burning, grazing and replacement of invasive plants with natives. Restoration by managing water regime includes the recovery of the duration, frequency and/or depth of inundation, waterlogging or environmental flow release. The creation of new wetlands is also considered here.",NA
Wetland conservation and restoration,Definition of the farming practice6,"When different restoration methods are analysed together in the reviewed synthesis papers, we report them as several restoration methods analysed together. This pool includes active revegetation, enhancement of in-wetland and structural heterogeneity, habitat creation, passive restoration, restoration of hydrological dynamics, restoration of water quality, addition of soil amendments or wildlife management (i. e. reintroduction of native species and/or elimination of exotic ones).",NA
Wetland conservation and restoration,What does the definition of the FP include?1,"This review includes a wide variety of wetland types in terms of: level of human intervention: natural and human-made, water salinity: fresh, brackish (i.e., intermediate level of salinity) and saline, water regime: lotic (flowing) and lentic (stagnant), permanent and temporary, elevation: alpine and coastal.",NA
Wetland conservation and restoration,What does the definition of the FP include?2,The estimation of wetland conservation impacts is based on the spatial comparison between preserved natural wetlands (intervention) and nearby degraded or restored wetlands (comparator).,NA
Wetland conservation and restoration,What does the definition of the FP include?3,The estimation of wetland restoration impacts is based on the spatial and temporal comparisons between restored wetlands (intervention) and degraded wetlands (comparator). Spatial comparisons are those conducted simultaneously between restored wetlands and nearby degraded wetlands. Temporal comparisons are those conducted in the same wetland before and after restoration.,NA
Wetland conservation and restoration,What does the definition of the FP include?4,"This review focuses on wetland under agricultural land use. However, lands use is not always clearly reported in the synthesis papers. Papers were retained unless clearly specified that studied wetlands were under urban lands use. The underlying reasoning is that many wetlands are in fact disturbed for agricultural purposes. Besides, in the case of restoration, some interventions such as those focused on the eradication or control of invasive species, could be valid experiences for the restoration of other wetlands, irrespectively to the land use.",NA
Wetland conservation and restoration,What does the definition of the FP exclude?1,"This review does not include other management practices conducted in wetlands (i.e, grazing or fertilisation) which are assessed in separate sets of fiches (i.e. wetland management).",NA
Wetland management,FP ID,Wetland management,NA
Wetland management,Definition of the farming practice1,"Wetlands are areas where water is the primary factor controlling the environment and the associated plant and animal life. The Ramsar Convention on Wetlands adopts a broad definition of wetlands. It includes lakes and rivers, underground aquifers, swamps and marshes, wet grasslands, peatlands, oases, estuaries, deltas and tidal flats, mangroves and other coastal areas, coral reefs, and all human-made sites such as fish ponds, rice paddies, reservoirs and salt pans.",Ramsar Convention on Wetlands: https://www.ramsar.org/sites/default/files/documents/library/current_convention_text_e.pdf
Wetland management,Definition of the farming practice2,"However, this review does not include all these wetland types either because they are not well represented in the scientific literature, because they are not relevant in a European context or because they are not under agricultural use. Besides, this review excludes peatlands and carbon rich soils, as their conservation, restoration and management are assessed in a separate set of fiches (i.e., wetland conservation and restoration).",NA
Wetland management,Definition of the farming practice3,"This review focuses on wetlands under agricultural use and thus, and though not clearly stated on the papers reviewed, includes mostly drained wetlands.","Joosten, et al. 2012. Peatlands-Guidance for climate change mitigation, conservation, rehabilitation and sustainable use. Mitigation of climate change in Agriculture Series 5 (FAO)."
Wetland management,Definition of the farming practice4,"This review includes interventions towards an improved and more sustainable management of wetlands. Specific interventions have been proposed such as low tillage, ban of burning, paludiculture, etc.","Joosten, et al. 2012. Peatlands-Guidance for climate change mitigation, conservation, rehabilitation and sustainable use. Mitigation of climate change in Agriculture Series 5 (FAO)."
Wetland management,Definition of the farming practice5,In this literature review we have found evidence for the following management interventions:,NA
Wetland management,Definition of the farming practice6,"No fertilisation. Fertilisers are natural or synthetic substances containing chemical elements such as nitrogen (N), phosphorus (P) and potassium (K) that are applied to soils to improve growth and productiveness of plants.",https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Glossary:Fertiliser
Wetland management,Definition of the farming practice7,"Fertilisation, and in particular N inputs in wetlands, might promote greenhouse gas emissions by changing element cycling.","Chen, M, Chang, L, Zhang, J et al. 2020. Global nitrogen input on wetland ecosystem: The driving mechanism of soil labile carbon and nitrogen on greenhouse gas emissions. Environmental Science and Ecotechnology, 4, 100063."
Wetland management,Definition of the farming practice8,"Here, no fertilised wetlands are compared to fertilised ones.",NA
Wetland management,Definition of the farming practice9,"Grazing is a method of animal husbandry in which livestock are allowed to feed outdoors consuming cultivated or wild vegetation. The direction and magnitude of grazing impacts on ecosystem properties depends on grazing management, such as stocking density, grazing duration and grazer species.","Paz-Kagan, T, Ohana-Levi, N, Herrmann, I et al. 2016. Grazing intensity effects on soil quality: a spatial analysis of a Mediterranean grassland. Catena, 146, 100-110."
Wetland management,Definition of the farming practice10,"Here, grazed wetlands are compared to wetlands with grazing exclusion or where only wild herbivores graze in natural conditions.",NA
Wetland management,What does the definition of the FP include?1,"This review includes a wide variety of wetland types in terms of: level of human intervention: natural and human-made, water salinity: fresh, brackish (i.e., intermediate level of salinity) and saline, water regime: lotic (flowing) and lentic (stagnant), permanent and temporary, elevation: alpine and coastal.",NA
Wetland management,What does the definition of the FP include?2,"These fiches focus on wetlands and the management practices conducted in these habitats. However, some of these farming practices are also explored more broadly without distinguishing the habitat type devoted to agricultural use in other sets of fiches (i.e, organic fertilisation and grazing fiches).",NA
Wetland management,What does the definition of the FP exclude?1,"This review does not include wetland conservation or restoration, which are assessed in separate sets of fiches (i.e, wetlands conservation and restoration).",NA
