type,subtype,theme,subtheme,practice,subpractice,subpractice_description,Notes,Source,agroecological principle
Pest management,Pest management in plants,Weed control,Mechanical control,Mechanical method,Mechanical (Unspecified),"Mechanical weeded is used, but the methodological details are not provided.",NA,AS based on ERA lookuplevels$W.Type,2_input_reduction
Pest management,Pest management in plants,Weed control,No Chemical Applied,No Chemical Applied,No Herbicide Applied,No inputs of inorganic or organic herbicides.,NA,AS based on ERA lookuplevels$W.Type,2_input_reduction
Pest management,Pest management in plants,Weed control,No Chemical Applied,No Chemical Applied,No Weeding Applied,weeds were allowed to grow naturally within the plots without any removal or control,NA,NA,2_input_reduction
Pest management,Pest management in plants,Weed control,Chemical control,Synthetic pesticide,Chemical weed control,Weeds are controlled through an applied substance that causes physiological damage. Complete details of the weeding practice in Chemicals section,NA,NA,2_input_reduction
Pest management,Pest management in plants,NA,NA,Unspecified,Unspecified (if pesticide org or inorg was applied),Unspecified if pesticide (organic or inorganic) was applied,NA,NA,NA
Pest management,Pest management in plants,Weed control,Chemical control,Synthetic pesticide,Herbicide,Suppression of weed growth or killing weeds using chemicals,NA,AS based on ERA 01_chemicals$C.Type,2_input_reduction
Pest management,Pest management in animals,NA,NA,Acaricide,Animal (Acaricide),NA,NA,AS based on ERA 01_chemicals$C.Type,NA
Pest management,Pest management in animals,No Chemical Applied,NA,No Chemical Applied,No Acaricide Applied,NA,NA,NA,NA
Pest management,Pest management in animals,NA,NA,Adjuvant,Adjuvant,NA,NA,AS based on ERA 01_chemicals$C.Type,NA
Pest management,Pest management in animals,NA,NA,Antiaflatoxin,Animal (Antiaflatoxin),NA,NA,AS based on ERA 01_chemicals$C.Type,NA
Pest management,Pest management in animals,NA,NA,Antibiotic,Animal (Antibiotic),NA,NA,AS based on ERA 01_chemicals$C.Type,NA
Pest management,Pest management in animals,No Chemical Applied,NA,No Chemical Applied,No Antibiotic Applied,NA,NA,NA,NA
Pest management,Pest management in animals,NA,NA,Antihelmintic,Animal (Antihelmintic),NA,NA,AS based on ERA 01_chemicals$C.Type,NA
Pest management,Pest management in animals,NA,NA,Antimicrobial,Animal (Antimicrobial),NA,NA,AS based on ERA 01_chemicals$C.Type,NA
Pest management,Pest management in animals,NA,NA,Antiparasitic,Animal (Antiparasitic),NA,NA,AS based on ERA 01_chemicals$C.Type,NA
Pest management,Pest management in animals,No Chemical Applied,NA,No Chemical Applied,No Antiparasitic Applied,NA,NA,NA,NA
Pest management,Pest management in animals,NA,NA,Antiprotozoal,Animal (Antiprotozoal),NA,NA,AS based on ERA 01_chemicals$C.Type,NA
Pest management,Pest management in animals,NA,NA,Antistress,Antistress,NA,NA,AS based on ERA 01_chemicals$C.Type,NA
Pest management,Pest management in animals,No Chemical Applied,NA,No Chemical Applied,No Antistress Applied,NA,NA,NA,NA
Pest management,Pest management in animals,NA,NA,Binder,Binder,NA,NA,AS based on ERA 01_chemicals$C.Type,NA
Pest management,Pest management in animals,NA,NA,Insecticide,Animal (Antiparasitic;Insecticide),NA,NA,AS based on ERA 01_chemicals$C.Type,NA
Pest management,Pest management in animals,NA,NA,Insecticide,Animal (Insecticide;Insecticide),NA,NA,AS based on ERA 01_chemicals$C.Type,NA
Pest management,Pest management in animals,NA,NA,Promoter,Animal (Growth Promoter),NA,NA,AS based on ERA 01_chemicals$C.Type,NA
Pest management,Pest management in animals,No Chemical Applied,NA,No Chemical Applied,No Growth Promoter Applied,NA,NA,NA,NA
Pest management,Pest management in animals,NA,NA,Prostaglandin Analogue,Synthetic Prostaglandin Analogue,NA,NA,AS based on ERA 01_chemicals$C.Type,NA
Pest management,Pest management in animals,NA,NA,Tocolytic,Tocolytic,NA,NA,AS based on ERA 01_chemicals$C.Type,NA
Pest management,Pest management in animals,NA,NA,Vitamin,Vitamin Injection,NA,NA,NA,NA
Pest management,Pest management in animals,No Chemical Applied,NA,No Chemical Applied,No Vaccine Applied,NA,NA,NA,NA
Pest management,Pest management in animals,NA,NA,Vaccine,Animal (Vaccine),NA,NA,AS based on ERA 01_chemicals$C.Type,NA
Soil management,Diversification (temporal),Bare Fallow,Fallow Unimproved,Bare Fallow,Natural Fallow (<6months),Natural or Bare Fallow for at least six months,NA,AS,5_biodiversity..6_synergy..7_economic_diversification
Soil management,Diversification (temporal),Bare Fallow,Fallow Unimproved,Bare Fallow,Natural Fallow (>1yr),Natural or Bare Fallow for at least 1 year,NA,BIOFincas,5_biodiversity..6_synergy..7_economic_diversification
Soil management,Diversification (temporal),Bare Fallow,Fallow Unimproved,Bare Fallow,Natural Fallow (>6months),Natural or Bare Fallow for at least six months,NA,BIOFincas,5_biodiversity..6_synergy..7_economic_diversification
Soil management,Diversification (temporal),Bare Fallow,Fallow Unimproved,Bare Fallow,Natural or Bare Fallow,A fallowing practice where the land is left unmanaged between production periods.,This is the control practice for improved fallows.,ERA,5_biodiversity..6_synergy..7_economic_diversification
Soil management,Diversification (temporal),Improved Fallow,Improved Fallow,Improved Fallow (Mixed),Improved Fallow (N fixing and Non N fixing),"Planting fallows with nitrogen-fixing (leguminous) and non nitrogen-fixing plant species to improve soil health, often lasting more than one season.",NA,ERA,5_biodiversity..6_synergy..7_economic_diversification
Soil management,Diversification (temporal),Improved Fallow,Improved Fallow,Improved Fallow (N fixing),Improved Fallow (N fixing),"Planting fallows with nitrogen-fixing (leguminous) plant species to improve soil health, often lasting more than one season.",NA,ERA,5_biodiversity..6_synergy..7_economic_diversification
Soil management,Diversification (temporal),Improved Fallow,Improved Fallow,Improved Fallow (N fixing),Improved Fallow (N fixing) (>1yr),Planting fallows with nitrogen-fixing (leguminous) plant species to improve soil health. Fallow period must be at least one year.,NA,AS,5_biodiversity..6_synergy..7_economic_diversification
Soil management,Diversification (temporal),Improved Fallow,Improved Fallow,Improved Fallow (N fixing),Improved Fallow (N fixing) (>6months),Planting fallows with nitrogen-fixing (leguminous) plant species to improve soil health. Fallow period must be at least 6 months.,NA,AS,5_biodiversity..6_synergy..7_economic_diversification
Soil management,Diversification (temporal),Improved Fallow,Improved Fallow,Improved Fallow (Non N fixing),Improved Fallow (Non N fixing),"Planting fallows with non nitrogen-fixing (not leguminous) plant species to improve soil health, often lasting more than one season.",NA,ERA,5_biodiversity..6_synergy..7_economic_diversification
Soil management,Diversification (temporal),Improved Fallow,Improved Fallow,Improved Fallow (Unspecified),Improved Fallow (Unspecified),"Planting fallows with unspecified plant species to improve soil health, typically lasting more than one season.",NA,ERA,5_biodiversity..6_synergy..7_economic_diversification
Soil management,Diversification (spatial),Green manure,Green manure,Green Manure (Mixed),Green Manure (N fixing and Non N fixing In Space),"Non-harvested mixed nitrogen fixing (leguminous) and non-nitrogen fixing plants grown at the same time as harvested crops. For example a rotation where in season one a maize main crop is planted (from which grain is harvested) then the next season (or in-between seasons) a green manure is planted (from which no components were harvested for consumption, fibre or sale).",Green manures may be associated with Mulch codes in the Soil Management theme if their residues remain on the surface of the field or residue incorporation subpractices when ploughed into the field.,ERA,5_biodiversity..6_synergy..7_economic_diversification
Soil management,Diversification (temporal),Green manure,Green manure,Green Manure (Mixed),Green Manure (N fixing and Non N fixing In Time),NA,NA,AS,5_biodiversity..6_synergy..7_economic_diversification
Soil management,Diversification (spatial),Green manure,Green manure,Green Manure (N fixing),Green Manure (N fixing In Space),"Non-harvested nitrogen fixing (leguminous) plants grown at the same time as harvested crops. For example a rotation where in season one a maize main crop is planted (from which grain is harvested) then the next season (or in-between seasons) a green manure is planted (from which no components were harvested for consumption, fibre or sale).",Green manures may be associated with Mulch codes in the Soil Management theme if their residues remain on the surface of the field or residue incorporation subpractices when ploughed into the field.,ERA,5_biodiversity..6_synergy..7_economic_diversification
Soil management,Diversification (temporal),Green manure,Green manure,Green Manure (N fixing),Green Manure (N fixing In Time),"Non-harvested nitrogen fixing (leguminous) plants grown at a different time to harvested crops in system. For example a rotation where in season one a maize main crop is planted (from which grain is harvested) then the next season (or in-between seasons) a green manure is planted (from which no components were harvested for consumption, fibre or sale).",Green manures may be associated with Mulch codes in the Soil Management theme if their residues remain on the surface of the field or residue incorporation subpractices when ploughed into the field.,ERA,5_biodiversity..6_synergy..7_economic_diversification
Soil management,Diversification (spatial),Green manure,Green manure,Green Manure (Non N fixing),Green Manure (Non N fixing In Space),"Non-harvested non-nitrogen fixing (not leguminous) plants grown at the same time as harvested crops.For example a rotation where in season one a maize main crop is planted (from which grain is harvested) then the next season (or in-between seasons) a green manure is planted (from which no components were harvested for consumption, fibre or sale).",Green manures may be associated with Mulch codes in the Soil Management theme if their residues remain on the surface of the field or residue incorporation subpractices when ploughed into the field.,ERA,5_biodiversity..6_synergy..7_economic_diversification
Soil management,Diversification (temporal),Green manure,Green manure,Green Manure (Non N fixing),Green Manure (Non N fixing In Time),"Non-harvested non-nitrogen fixing (not leguminous) plants grown at a different time to harvested crops in system.For example a rotation where in season one a maize main crop is planted (from which grain is harvested) then the next season (or in-between seasons) a green manure is planted (from which no components were harvested for consumption, fibre or sale).",Green manures may be associated with Mulch codes in the Soil Management theme if their residues remain on the surface of the field or residue incorporation subpractices when ploughed into the field.,ERA,5_biodiversity..6_synergy..7_economic_diversification
Soil management,Diversification (spatial),Monoculture,Monoculture,Monoculture,Monoculture,A single crop is grown in the experimental plot and is invariant over time.,NA,ERA (added here by AS),5_biodiversity..6_synergy..7_economic_diversification
Soil management,Diversification (temporal),Monoculture,Monoculture,Monoculture,Monoculture,A single crop is grown in the experimental plot and is invariant over time.,NA,ERA (added here by AS),5_biodiversity..6_synergy..7_economic_diversification
Soil management,NA,Biochar,NA,Biochar,Biochar,Application of biochar.,NA,ERA,NA
Soil management,Tillage,Conventional Tillage,NA,Conventional Tillage,Conventional Tillage,"Tillage that is not considered to be reduced, typically includes methods such as moldboard plough which invert the upper layers of the soil.","The definition depends on the context, for example ridge and furrow may be reduced in some instances, but conventional in others.",ERA,NA
Soil management,Tillage,Zero Tillage,NA,Zero Tillage,No or Zero Tillage,No or zero tillage. Planted may use a dibble stick or other direct seeding methods.,As defined by the author. Zero tillage can be compared to to reduced or conventional tillage.,ERA,NA
Soil management,Tillage,Zero Tillage,NA,Zero Tillage,No Till (Off season),Used in the unusal situation where off-season tillage erroneously adds a no-tillage ERA practice to a rotation sequence (add example from HK0314),NA,ERA,NA
Soil management,Tillage,Reduced Tillage,NA,Reduced Tillage,Reduced or Minimum Tillage,"Any tillage practice which reduces, but does not eliminate (no or zero tillage), soil disturbance. Examples include strip tillage, ripping, subsoiling or reducing the number of tillage passes or depth of tillage.",Typically defined by the author. Reduced tillage can be compared to conventional tillage.,ERA,NA
Soil management,Tillage,Reduced Tillage,NA,Reduced Tillage,Reduced Tillage (Off season),Used in the unusal situation where off-season tillage erroneously adds a reduced tillage ERA practice to a rotation sequence (add example from HK0314),NA,ERA,NA
Soil management,pH Control,Liming,NA,Liming,Liming or Calcium Addition,"Application of lime (e.g., dolomite) or forms of calcium (e.g. oyster shells) to the field to raise the pH.",NA,ERA,NA
Soil management,pH Control,No liming,NA,No liming,No Liming (control),NA,NA,NA,NA
Water management,Blue Water Management,Irrigation,Irrigation,Deficit Irrigation,Deficit Irrigation,Application of water below full crop requirements compared to a control of conventional irrigation.,NA,ERA,NA
Water management,Blue Water Management,Irrigation,Irrigation,Improved Rice Management,Alternate Wetting & Drying (AWD),"Repeated flooding and draining of paddy rice fields, managed responsively in relation to soil moisture levels.",NA,ERA,NA
Water management,Blue Water Management,Irrigation,Irrigation,Improved Rice Management,Midseason Drainage,"The paddy rice field is drained during the season, but usually only once.",NA,ERA,NA
Water management,Blue Water Management,Irrigation,Irrigation,Improved Rice Management,Reduced Water Use in Rice,Practices that reduce water use in rice that are not alternate wetting & drying (AWD) or midseason drainage. Consider creating a new practice rather than using this code.,NA,ERA,NA
Water management,Blue Water Management,Irrigation,Irrigation,Improved Rice Management,System of Rice Intensification (SRI),"If possible it is best to unpack SRI into its component practices rather than using this practice code. If impossible to disaggregate the SRI practice then use this code. 
SRI is a system package which can include early transplanting (8-12 days), 25cm spacing and alternate wet and dry. Identified by authors.",NA,ERA,NA
Water management,Blue Water Management,Irrigation,Irrigation,Partial rootzone irrigation,Alternate Partial Rootzone Irrigation,Part of the root is exposed to drying soil and the remaining is irrigated in accordance with crop requirements and soil drying rate. This practice is also called partial root zone drying (PRD).,NA,ERA,NA
Water management,Blue Water Management,Irrigation,Irrigation,Localized irrigation,Drip Irrigation,The use of plastic pipes to drip water into the soil at low pressure.,NA,ERA,NA
Water management,Water Management,Irrigation,Irrigation,Full irrigation,Fully Irrigated Control or Experiment,The crop is fully irrigated.,A control that can be compared to experimental treatments that apply less water (e.g. deficit irrigation) or this code can be giving to control and treatment where both are irrigated (e.g. rice grown in paddies).,ERA,NA
Water management,Blue Water Management,Irrigation,Irrigation,Irrigation (other),Irrigation (Other),The use of improved irrigation that isn't more specifically defined.,NA,ERA,NA
Water management,Blue Water Management,Irrigation,Irrigation,Sprinkler irrigation,Sprinkler Irrigation,Application of irrigation through sprinkler technology.,NA,ERA,NA
Water management,Water Management,No irrigation,No irrigation,Rainfed agriculture,No Irrigation Control or Rainfed Agriculture,"No irrigation used, rainfed agriculture.",A control practice that can be compared to the practice of supplemental irrigation.,ERA,NA
Water management,Water Management,Irrigation,Planting,Transplanting,Transplanting Seedlings. This practice code has only been applied to the 2018 dataset,"Transplanting young seedlings, a practice commonly used to improve rice management in irrigated systems.",NA,ERA,NA
Water management,Water Management,No irrigation,No irrigation,Rainfed agriculture,Unspecified (if it was irrigated),Unspecified if fertilization (organic or inorganic) was applied,NA,NA,NA
Water management,Blue Water Management,Irrigation,Supplemental Irrigation,Supplemental Irrigation,Supplemental Irrigation,The addition of irrigation to typically rainfed crops.,NA,ERA,NA
Water management,Green Water Management,Soil consevation,Erosion control,Contour bunding,Bunds,"A permanent or semi-permanent ridge of soil or stone typically constructed along a contour that slows water from moving off-site, names include contour bunds, stone bunds, semicircular bunds.",NA,ERA,NA
Water management,Blue Water Management,Water harvesting,Rain water harvesting,Water storage structures,Cisterns and Tanks,The active collection and storage of water runoff for irrigation purposes.,NA,ERA,NA
Water management,Blue Water Management,Water harvesting,Water harvesting,Water storage structures,Dam,Construction or enhancement of water capture and storage using small dams (e.g. Chaco dams).,NA,ERA,NA
Water management,Green Water Management,Soil consevation,Terracing,Terracing,Fanya Juu or Fanya Chini,"A local method used in Tanzania of ditches dug on steep slopes. Fanya juu are terraces constructed by digging ditches and heaping the soil, forming bunds in the upper sides of the ditches. Fanya chini are similar to fanya juus except that the soil is put on the lower side of the contour trench.",Typically identified by the author.,ERA,NA
Water management,Green Water Management,Soil consevation,Erosion control,Vegetative filter strips,Grass Strips,"Strips of grass within a field or farm created for erosion control, typically they are placed along contour lines.",NA,ERA,NA
Water management,Green Water Management,Water harvesting,Rain water harvesting,Microcatchments,Microcatchments,"Microcatchment is a term for infield water catchment. Negarim microcatchments, for example, are diamond-shaped basins surrounded by small earth bunds with an infiltration pit in the lowest corner of each. Runoff is collected from within the basin and stored in the infiltration pit. Microcatchments are mainly used for growing trees or bushes.",Typically identified by the author.,ERA,NA
Water management,Green Water Management,Water harvesting,Rain water harvesting,Microcatchments,Planting Basins,"Small planting pits dug to capture water, crops are planted directly into the pits.","Typically identified by the author.
If pits are dug one year and then kept across many seasons, after season one this can be considered a form of reduced tillage.",ERA,NA
Water management,Green Water Management,Water harvesting,Rain water harvesting,Contour bunding,Ridge & Furrow,The mounding of soil to allow movement and storage of water in a furrow next to the ridge. Ridges are usually remade each season.,"This practices is also a tillage practice, but it's nature depends on the comparison. Sometimes it reduced tillage (e.g., if compared to deep mechanical tillage), sometimes it's conventional practice (e.g. if compared to no-tillage).",ERA,NA
Water management,Green Water Management,Soil consevation,Erosion control,Contour bunding,Stone Rows,"Stones piled in rows within a field, typically along contour lines, for the purpose of rainwater harvesting or soil water conservation.",NA,ERA,NA
Water management,Green Water Management,Soil consevation,Terracing,Terracing,Terraces,The soil of steeply sloping fields is dug into large steps.,NA,ERA,NA
Water management,Green Water Management,Water harvesting,Rain water harvesting,Contour bunding,Tied Ridges,Basins are made by digging out shallow furrows along the contour lines of a slope and making ridges on the downside of the furrows. These are “tied” together by slightly lower ridges which are made at regular intervals along the furrows.,"If tied ridges are dug one year and then kept across many seasons, after season one this can be considered a form of reduced tillage, this will typically be identified by the author.",ERA,NA
Water management,Green Water Management,Water harvesting,Rain water harvesting,Contour bunding,Trench,A trench dug along the contour lines of a field to capture water. This practice should have no associated bunds or banks with the trench.,NA,ERA,NA
Water management,Green Water Management,Water harvesting,Rain water harvesting,Microcatchments,Zai Pits,"Small pits to capture water. Pits are filled with manure, compost or other nutrient sources before the rainy season. Crops are planted directly into the pits.","Usually associated with a mulch, compost or manure practice.
Typically identified by the author.",ERA,NA
NA,NA,Energy,NA,Biogas,Biofertilizer,Fertilizer (biofertilizer) produced using a biodigestor slurry.,USE COMPOST CODE b29,ERA,NA
NA,NA,Energy,NA,Biogas,Biogas,Biogas production from from anaerobic biodigesters.,"The comparison for this practice can be wood fuel or charcoal production as traditional energy sources (the outcomes would be cost, labor, fuel use, cooking time, etc.).",ERA,NA
NA,NA,Energy,NA,Biogas,Biogas Switching,Switching of biodigestors biomass feedstocks.,Biodigestor papers only.,ERA,NA
NA,NA,Energy,NA,Biogas,Predominant Biodigestor Model,NA,NA,ERA,NA
NA,NA,Energy,NA,Biogas/cookstove,Conventional Biomass Feedstocks,Use of normal/usual feedstocks in a biomass digestor.,NA,ERA,NA
NA,NA,Energy,NA,Cookstove,Conventional Energy Sources,A conventional or normal source of fuel.,A control for cookstove fuel switching.,ERA,NA
NA,NA,Energy,NA,Cookstove,Cookstove Switching,Switching cookstove biomass feedstocks.,Cooking fuel studies only. Changing the source of fuel doesn't count (e.g. unsustainable wood from source A vs sustianable fuel from source B).,ERA,NA
NA,NA,Energy,NA,Cookstove,Improved Cookstoves,"Improved cookstove designed to burn biomass fuels in a cleaner and more efficient manner than conventional practice (e.g., traditional three-stone fires).",NA,ERA,NA
NA,NA,Energy,NA,Cookstove,Unimproved Stove Technology,Use of traditional stoves for burning biomass fuels lile traditional three-stone; a control for improved cookstoves,A control for an improved cookstove.,ERA,NA
NA,NA,Non-CSA,NA,Agronomy,Continuous Cropping,"A single crop is grown in the experimental plot, this is invariant over the course of the experiment.",This is the control for an intercropping experiment.,ERA,NA
NA,NA,Non-CSA,NA,Non CSA,Non CSA,"general, other, typically should not be used",NA,ERA,NA
NA,NA,NA,NA,Crop Strips,Crop strips,cultivation with the additional border crops grown on the dikes,NA,AS,NA
NA,NA,NA,NA,NA,Open,NA,NA,NA,NA
